Sex,Length,Diameter,Height,Wholeweight,Shuckedweight,Visceraweight,Shellweight,target
1.0,0.665,0.52,0.165,1.6885,0.7295,0.40700000000000003,0.4265,1
2.0,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,0
1.0,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,1
0.0,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,1
0.0,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,1
0.0,0.525,0.38,0.125,0.65,0.303,0.155,0.159,0
1.0,0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,1
1.0,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,1
0.0,0.68,0.52,0.165,1.4775,0.7240000000000001,0.27899999999999997,0.406,1
1.0,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,1
2.0,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,0
1.0,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,1
0.0,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,1
1.0,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,0
2.0,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,1
2.0,0.45,0.335,0.11,0.4195,0.18100000000000002,0.085,0.1345,0
1.0,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,0
0.0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,0
0.0,0.49,0.38,0.14,0.7605,0.245,0.16699999999999998,0.185,1
1.0,0.62,0.475,0.16,1.1295,0.46299999999999997,0.2685,0.33,1
2.0,0.475,0.375,0.115,0.5205,0.233,0.11900000000000001,0.1455,0
1.0,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,1
1.0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,1
2.0,0.385,0.3,0.09,0.308,0.1525,0.055999999999999994,0.0835,0
1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,1
0.0,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,1
2.0,0.485,0.38,0.125,0.5215,0.2215,0.11800000000000001,0.16,0
1.0,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,1
2.0,0.305,0.215,0.065,0.1075,0.044000000000000004,0.0205,0.038,0
1.0,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,1
0.0,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,0
0.0,0.515,0.425,0.145,0.9365,0.49700000000000005,0.18100000000000002,0.2185,0
0.0,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195,0
2.0,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,1
2.0,0.325,0.24,0.075,0.1525,0.07200000000000001,0.0645,0.043,0
0.0,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,1
0.0,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,1
2.0,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,0
1.0,0.595,0.48,0.15,1.11,0.498,0.228,0.33,1
2.0,0.47,0.355,0.12,0.39299999999999996,0.16699999999999998,0.0885,0.115,0
2.0,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,0
2.0,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,1
0.0,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,1
1.0,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,1
0.0,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,0
1.0,0.56,0.455,0.19,0.7140000000000001,0.28300000000000003,0.129,0.275,0
1.0,0.455,0.355,1.13,0.594,0.332,0.11599999999999999,0.1335,0
1.0,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,0
2.0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,0
1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,1
0.0,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,1
0.0,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,1
2.0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,0
0.0,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,0
0.0,0.555,0.45,0.175,0.8740000000000001,0.3275,0.20199999999999999,0.305,1
0.0,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,0
0.0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,0
2.0,0.43,0.325,0.09,0.425,0.217,0.087,0.095,0
2.0,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,1
1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,1
1.0,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,0
1.0,0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26,1
2.0,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,0
1.0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,1
0.0,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,0
0.0,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,1
1.0,0.61,0.45,0.16,1.136,0.414,0.311,0.3,0
2.0,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,0
1.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,1
1.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,1
2.0,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,0
0.0,0.715,0.55,0.19,2.0045,1.0465,0.40700000000000003,0.5075,1
2.0,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,0
0.0,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,1
2.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,0
1.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.36700000000000005,0.435,1
0.0,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425,1
0.0,0.71,0.56,0.22,2.015,0.9215,0.45399999999999996,0.5660000000000001,1
2.0,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,0
1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,0
0.0,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,1
1.0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,1
1.0,0.595,0.475,0.165,1.148,0.444,0.214,0.37,1
1.0,0.585,0.45,0.15,0.938,0.467,0.203,0.225,0
1.0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,0
0.0,0.615,0.495,0.2,1.219,0.564,0.22699999999999998,0.3885,1
2.0,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,0
2.0,0.51,0.395,0.105,0.5525,0.23399999999999999,0.127,0.165,0
1.0,0.635,0.505,0.165,1.251,0.5770000000000001,0.22699999999999998,0.3825,1
0.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,1
1.0,0.465,0.35,0.13,0.494,0.1945,0.10300000000000001,0.155,1
0.0,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,1
1.0,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,1
2.0,0.215,0.17,0.055,0.0605,0.0205,0.013999999999999999,0.02,0
2.0,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,1
0.0,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11,0
0.0,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,0
1.0,0.405,0.325,0.11,0.3555,0.151,0.063,0.11699999999999999,0
1.0,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,1
2.0,0.24,0.18,0.055,0.0555,0.0235,0.013000000000000001,0.018000000000000002,0
0.0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,0
1.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,1
1.0,0.575,0.45,0.135,0.8285,0.36200000000000004,0.1655,0.23600000000000002,1
0.0,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,1
0.0,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,1
2.0,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,0
1.0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,1
0.0,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,1
1.0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,1
2.0,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,0
1.0,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,0
0.0,0.685,0.535,0.175,1.432,0.637,0.247,0.46,1
2.0,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,0
1.0,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,1
1.0,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,1
1.0,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,1
2.0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,1
0.0,0.515,0.395,0.135,1.0070000000000001,0.47200000000000003,0.2495,0.252,0
2.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,0
2.0,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,0
0.0,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,1
0.0,0.59,0.455,0.155,0.8855,0.38799999999999996,0.188,0.275,1
2.0,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,0
0.0,0.605,0.455,0.16,1.1035,0.42100000000000004,0.3015,0.325,0
2.0,0.495,0.375,0.115,0.507,0.24100000000000002,0.10300000000000001,0.15,0
0.0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,1
1.0,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,0
1.0,0.62,0.51,0.18,1.2329999999999999,0.5920000000000001,0.27399999999999997,0.322,1
2.0,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,0
2.0,0.385,0.28,0.125,0.244,0.102,0.038,0.085,0
2.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,0
1.0,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,1
0.0,0.53,0.41,0.125,0.769,0.34600000000000003,0.17300000000000001,0.215,0
1.0,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,1
1.0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,0
0.0,0.655,0.55,0.18,1.274,0.586,0.281,0.365,1
0.0,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,1
2.0,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,0
2.0,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,0
0.0,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,1
0.0,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,0
2.0,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,1
2.0,0.525,0.39,0.105,0.5670000000000001,0.2875,0.1075,0.16,0
0.0,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,0
1.0,0.74,0.565,0.205,2.119,0.9655,0.5185,0.48200000000000004,1
0.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,1
0.0,0.7,0.575,0.19,2.273,1.095,0.418,0.638,1
0.0,0.535,0.415,0.135,0.78,0.3165,0.16899999999999998,0.2365,0
0.0,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,0
1.0,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,0
2.0,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052000000000000005,0
1.0,0.66,0.515,0.18,1.5230000000000001,0.54,0.3365,0.555,1
1.0,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,0
1.0,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,1
1.0,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,1
1.0,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32,1
0.0,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,1
0.0,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13,1
1.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375,1
2.0,0.31,0.235,0.075,0.1515,0.055999999999999994,0.0315,0.05,0
1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,1
1.0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,1
1.0,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,0
0.0,0.5,0.385,0.135,0.551,0.2245,0.0715,0.20600000000000002,1
1.0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,1
1.0,0.585,0.465,0.14,0.9079999999999999,0.381,0.1615,0.315,1
1.0,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,1
1.0,0.745,0.57,0.215,2.25,1.1565,0.446,0.5579999999999999,0
2.0,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011000000000000001,0
0.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,0
2.0,0.45,0.345,0.135,0.44299999999999995,0.1975,0.0875,0.1175,1
1.0,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,1
1.0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,1
2.0,0.275,0.215,0.075,0.1155,0.0485,0.028999999999999998,0.035,0
2.0,0.28,0.215,0.08,0.132,0.07200000000000001,0.022000000000000002,0.033,0
2.0,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,0
2.0,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,0
0.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,1
0.0,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,0
1.0,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,1
2.0,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,0
2.0,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,0
0.0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,0
0.0,0.57,0.45,0.155,1.1935,0.513,0.21,0.34299999999999997,1
1.0,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,0
2.0,0.485,0.37,0.13,0.45799999999999996,0.18100000000000002,0.113,0.136,1
0.0,0.355,0.265,0.09,0.168,0.05,0.040999999999999995,0.063,0
2.0,0.55,0.445,0.125,0.672,0.28800000000000003,0.1365,0.21,1
1.0,0.58,0.46,0.135,0.9259999999999999,0.4025,0.20800000000000002,0.275,0
1.0,0.64,0.54,0.175,1.571,0.627,0.271,0.475,1
2.0,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,1
1.0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,0
0.0,0.605,0.49,0.14,0.9755,0.419,0.20600000000000002,0.315,1
1.0,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,1
1.0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,0
0.0,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,0
0.0,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,0
1.0,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345,0
2.0,0.62,0.485,0.18,1.1540000000000001,0.4935,0.256,0.315,1
1.0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,0
0.0,0.345,0.255,0.08,0.16899999999999998,0.06,0.0425,0.054000000000000006,1
2.0,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,0
1.0,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275,1
1.0,0.59,0.415,0.15,0.8805,0.3645,0.23399999999999999,0.235,1
0.0,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,0
0.0,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,1
0.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,1
2.0,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,0
0.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,1
1.0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,1
2.0,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19,0
2.0,0.35,0.265,0.11,0.209,0.066,0.059000000000000004,0.075,0
1.0,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,0
1.0,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,1
2.0,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,0
0.0,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,0
0.0,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,1
2.0,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,0
0.0,0.525,0.4,0.17,0.7305,0.27899999999999997,0.2055,0.195,1
2.0,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,0
2.0,0.59,0.445,0.135,0.7715,0.32799999999999996,0.1745,0.23,0
1.0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,1
2.0,0.61,0.46,0.17,1.278,0.41,0.257,0.37,1
0.0,0.475,0.385,0.145,0.6175,0.235,0.10800000000000001,0.215,1
2.0,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,0
0.0,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,0
0.0,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,0
0.0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,1
1.0,0.6,0.46,0.15,1.235,0.6025,0.27399999999999997,0.29,0
2.0,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,0
2.0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,0
0.0,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,1
2.0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,0
0.0,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,1
1.0,0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,1
0.0,0.42,0.345,0.105,0.43,0.175,0.096,0.13,0
0.0,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,1
0.0,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,1
2.0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,0
0.0,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,1
1.0,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,0
1.0,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,1
2.0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,1
0.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,1
1.0,0.64,0.5,0.165,1.1635,0.5539999999999999,0.239,0.32,1
2.0,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,0
1.0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,1
0.0,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,0
2.0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,1
0.0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,1
0.0,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,1
1.0,0.575,0.45,0.12,0.9585,0.447,0.16899999999999998,0.275,1
2.0,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,0
0.0,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,1
1.0,0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.43200000000000005,1
1.0,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,1
0.0,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,1
2.0,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,1
2.0,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,0
2.0,0.405,0.3,0.09,0.26899999999999996,0.10300000000000001,0.067,0.11,0
0.0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,0
2.0,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,0
1.0,0.615,0.5,0.165,1.327,0.6,0.3015,0.355,1
0.0,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,1
1.0,0.58,0.45,0.155,0.93,0.385,0.24600000000000002,0.265,0
2.0,0.31,0.235,0.09,0.127,0.048,0.031,0.04,0
1.0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,1
0.0,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,0
2.0,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,0
0.0,0.38,0.29,0.12,0.28300000000000003,0.1175,0.0655,0.085,0
2.0,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,0
1.0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415,1
1.0,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,0
0.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,1
1.0,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,1
1.0,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,0
2.0,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,0
2.0,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036000000000000004,0
0.0,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,1
1.0,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,1
2.0,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,0
0.0,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,1
2.0,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,1
0.0,0.625,0.48,0.18,1.2229999999999999,0.565,0.2975,0.3375,1
0.0,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,0
2.0,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,0
1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,1
0.0,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,1
1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,1
2.0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,0
1.0,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,1
0.0,0.61,0.45,0.15,0.871,0.40700000000000003,0.1835,0.25,1
0.0,0.52,0.4,0.125,0.5589999999999999,0.254,0.139,0.149,0
1.0,0.455,0.365,0.115,0.4305,0.184,0.10800000000000001,0.1245,0
0.0,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,1
0.0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,0
0.0,0.39,0.28,0.125,0.564,0.3035,0.0955,0.14300000000000002,0
1.0,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,1
1.0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,1
